comparison	specific_type	n	p_value	star
D0 vs D14	lincRNA	164	0.5245117454976566	
D0 vs D14	antisense	117	0.6567786915195997	
D0 vs D14	sense_intronic	14	0.9183715688307061	
D0 vs D14	TEC	16	0.9511939937193725	
D0 vs D14	processed_transcript	27	2.523664629496298e-4	***
D0 vs D14	sense_overlapping	5	0.34554250754324944	
D14 vs D28	lincRNA	67	0.9366464635490543	
D14 vs D28	antisense	51	0.8050437876649514	
D14 vs D28	sense_intronic	8	0.6735052375315663	
D14 vs D28	TEC	13	0.25897216078248425	
D14 vs D28	processed_transcript	17	1.038959434727972e-4	***
D14 vs D28	sense_overlapping	3	0.2672869528999548	
D0 vs D28	lincRNA	212	0.1258161202432868	
D0 vs D28	antisense	129	0.9689238076061013	
D0 vs D28	sense_intronic	13	0.9943703125734797	
D0 vs D28	TEC	26	0.6670805481364976	
D0 vs D28	processed_transcript	30	5.645356905596698e-4	***
D0 vs D28	sense_overlapping	8	0.1015758067308901	
